course_id,instractor_name,instractor_id,instractor_order,instractor_rating,instractor_reviews,instractor_students,instractor_courses_count
4377962,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
985922,Tim Vipond,tim-vipond,1,4.5,"16,270","111,786",3
2454142,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3509758,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
528440,365 Careers,365careers,1,4.6,"488,011","1,670,274",77
4299789,Enterprise DNA,sam-mckay-14,1,4.5,811,"31,781",6
4299789,Sam McKay,sam-mckay-5,2,4.5,811,"31,781",6
4299789,Antriksh Sharma,antriksh-sharma-14,3,4.5,811,"31,781",6
4010904,Nick Walter,nicholaswalter2,1,4.6,"51,281","251,124",40
4010904,Mohammad Azam,mohammad-azam-2,2,4.6,"51,281","251,124",40
969148,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
3237815,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
1720450,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
653928,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
395700,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
2983542,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3445440,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
2623620,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2474716,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
2643056,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
2643056,365 Iliya,iliya-valchanov,2,4.6,"488,011","1,669,703",77
4048256,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
3870162,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
3870162,Bernard Marr,bernard-marr,2,4.6,"488,011","1,669,703",77
3832968,"Imran Afzal (300,000+ students)",imran-afzal-5,1,4.6,"27,081","320,140",18
3832968,Abbas Mehmood,abbas-mehmood-2,2,4.6,"27,081","320,140",18
4384166,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
994076,Amarnath Reddy,amarnathrpanyam,1,4.5,"19,381","84,060",9
1557316,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4044548,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
670310,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2287691,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
4378024,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1584250,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3284452,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
1166548,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2241582,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4270558,Enterprise DNA,sam-mckay-14,1,4.5,811,"31,781",6
4270558,Antriksh Sharma,antriksh-sharma-14,2,4.5,811,"31,781",6
2694842,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
4211304,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1860694,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
659464,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
640062,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
749542,Derrick Mitchell,derrickmitchell3,1,4.5,"17,570","149,562",11
1282950,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4098152,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
3067468,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1007760,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1166614,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1976404,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4255608,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
688872,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1362598,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
612904,Jacqueline Seidel,jacquelineseidel,1,4.5,"16,666","79,156",13
3411278,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2106150,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1461614,365 Careers,365careers,1,4.6,"488,011","1,670,274",77
2327156,Mohsen Hassan,mohsen-hassan-2,1,4.6,"84,495","245,751",11
2327156,bloom team,mtg-team,2,4.6,"84,495","245,751",11
4400534,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1178380,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2382211,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
1608308,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1147992,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1117836,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
641732,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1333914,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1643044,Lindsay Marsh,lindsay-marsh,1,4.7,"59,330","223,209",17
3895330,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1344262,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4112530,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2341082,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,178",15
2341082,Itversity Support,itversity-support,2,4.4,"8,685","219,178",15
3313416,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4095826,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1053272,Ashish Agarwal,instructorskillfinlearning,1,4.4,"9,753","51,883",15
1032200,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1268150,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1300254,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1924002,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
903744,Jose Portilla,joseportilla,1,4.6,"824,171","2,597,933",41
4338814,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2465432,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2749280,Lindsay Marsh,lindsay-marsh,1,4.7,"59,330","223,209",17
1754098,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1754098,365 Careers Team,365-careers-team,2,4.6,"488,011","1,669,703",77
3501982,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
2475066,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4174850,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3450984,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
786082,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4242194,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,178",15
1749818,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1854586,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1269662,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3468790,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1349492,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
753174,"Oracle Master Training • 100,000+ Students Worldwide",mer-daaan,1,4.6,"27,548","120,871",7
753174,Code Star Academy,omer-faruk-ince,2,4.6,"27,548","120,871",7
3225763,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2171124,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,178",15
2171124,Ritesh varma,ritesh-varma-4,2,4.4,"8,685","219,178",15
2171124,Itversity Support,itversity-support,3,4.4,"8,685","219,178",15
1713612,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3421618,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4173948,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4261510,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1884490,Mohsen Hassan,mohsen-hassan-2,1,4.6,"84,495","245,647",11
1884490,bloom team,mtg-team,2,4.6,"84,495","245,647",11
1440224,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3918536,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1459334,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
2397326,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
3075882,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
1558718,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1437938,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
3848374,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,178",15
713596,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2786310,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
1192500,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
3504624,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
1630536,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4231428,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1444992,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,217",15
1444992,Itversity Support,itversity-support,2,4.4,"8,685","219,217",15
4132170,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3399338,Travis Cuzick,travis-lee-cuzick,1,4.7,"1,318","80,420",4
3663114,Dr. Moustafa Saad Ibrahim,mostafasaadibrahim,1,4.8,"2,326","54,571",6
1281336,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4174318,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1288238,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4369884,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2358302,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2382335,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
3574179,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,718",21
2500544,Mohsen Hassan,mohsen-hassan-2,1,4.6,"84,495","245,647",11
2500544,bloom team,mtg-team,2,4.6,"84,495","245,647",11
1568678,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3069348,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2427742,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
4376186,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3536520,Elton Stoneman,elton-stoneman,1,4.7,138,"1,214",1
3148846,365 Careers,365careers,1,4.6,"488,011","1,670,274",77
1227924,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
1014340,Siva Prasad,sivaprasad3,1,4.5,"29,296","114,741",10
4194204,Enterprise DNA,sam-mckay-14,1,4.5,811,"31,781",6
4194204,Sam McKay,sam-mckay-5,2,4.5,811,"31,781",6
4194204,Antriksh Sharma,antriksh-sharma-14,3,4.5,811,"31,781",6
4383892,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
4310724,Academind by Maximilian Schwarzmüller,academind,1,4.7,"408,388","1,700,660",32
4310724,Maximilian Schwarzmüller,maximilian-schwarzmuller,2,4.7,"408,388","1,700,660",32
4310724,Manuel Lorenz,manuel-lorenz,3,4.7,"408,388","1,700,660",32
3146896,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
4205102,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
4205102,Olivier Maugain,olivier-maugain-2,2,4.6,"488,011","1,669,703",77
3528618,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4256968,MG Analytics,mg-analytics,1,4.6,243,"2,595",3
4379864,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4347480,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2223798,Ali Muhammad Ali,alimohammadali,1,4.8,"3,674","7,185",1
653948,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1141368,Kain Ramsay,kainramsay,1,4.6,"140,046","565,989",31
1141368,The Academy of Modern Applied Psychology,achology-ltd,2,4.6,"140,046","565,989",31
3693854,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
4119474,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
2571282,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
3153178,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1124296,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2618702,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,718",21
2173984,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4349074,Enterprise DNA,sam-mckay-14,1,4.5,811,"31,781",6
4349074,Gaelim Holland,gmh1977,2,4.5,811,"31,781",6
4131698,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3531844,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3287364,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
994754,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1269254,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1324724,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3582872,Mohsen Hassan,mohsen-hassan-2,1,4.6,"84,495","245,751",11
3582872,bloom team,mtg-team,2,4.6,"84,495","245,751",11
1593746,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,178",15
1593746,Itversity Support,itversity-support,2,4.4,"8,685","219,178",15
1513876,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1135326,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1168156,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1562640,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1562640,365 Simona (The 365 Team),simona-dobreva-2,2,4.6,"488,011","1,669,703",77
1298780,365 Careers,365careers,1,4.6,"488,011","1,670,274",77
1298780,365 Careers Team,365-careers-team,2,4.6,"488,011","1,670,274",77
3353014,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
3353014,大橋 亮太,da-qiao-liang-tai,2,4.6,"488,011","1,669,703",77
1349720,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1538964,Krista King,kristaking,1,4.8,"43,109","166,739",9
641728,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1017208,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
857208,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4381568,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4040970,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
1638634,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
1178016,Anthony Kelleher,anthony845,1,4.7,"50,772","454,329",9
3730630,Alan Ayoubi,alan-ayoubi-2,1,4.5,"4,322","135,909",5
653954,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2315602,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
743568,Financial Courses,gennarocuofano,1,4.4,"2,481","31,413",4
591930,Jonathan Levi,jonathanalevi,1,4.5,"50,658","304,596",18
591930,Lev Goldentouch,levgold,2,4.5,"50,658","304,596",18
591930,Anna Goldentouch,annagoldentouch,3,4.5,"50,658","304,596",18
591930,SuperHuman Academy®,superhuman-academy,4,4.5,"50,658","304,596",18
110240,Hassan Osman,hassanosman,1,4.5,"66,836","181,242",7
533682,Tim Buchalka,timbuchalka,1,4.5,"278,153","1,069,609",12
533682,Tim Buchalka's Learn Programming Academy,learn-programming-academy,2,4.5,"278,153","1,069,609",12
2128424,Hassan Osman,hassanosman,1,4.5,"66,836","181,242",7
3050372,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2778484,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
624578,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4040130,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
4259018,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1032198,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1806656,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
653920,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
4172788,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
33002,Siva Prasad,sivaprasad3,1,4.5,"29,296","114,741",10
1100380,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
1479340,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
2327016,Mohsen Hassan,mohsen-hassan-2,1,4.6,"84,495","245,647",11
2327016,Ilyass Tabiai,ilyass-tabiai-3,2,4.6,"84,495","245,647",11
2327016,bloom team,mtg-team,3,4.6,"84,495","245,647",11
2377334,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1259094,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
4209330,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3828844,Durga Viswanatha Raju Gadiraju,it-versity,1,4.4,"8,685","219,178",15
1587644,Mohsen Hassan,mohsen-hassan-2,1,4.6,"84,495","245,647",11
1587644,bloom team,mtg-team,2,4.6,"84,495","245,647",11
2193352,Hassan Osman,hassanosman,1,4.5,"66,836","181,343",7
1888354,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
714724,Tao W.,tao-wei,1,4.4,"20,463","218,680",12
714724,Level Up,miao-wang-2,2,4.4,"20,463","218,680",12
714724,James Lee,85e4b69e-fd05-4bf3-b767-bff3f93a472c,3,4.4,"20,463","218,680",12
909542,Anthony Kelleher,anthony845,1,4.7,"50,772","454,203",9
1336872,Kain Ramsay,kainramsay,1,4.6,"140,046","566,079",31
1336872,The Academy of Modern Applied Psychology,achology-ltd,2,4.6,"140,046","566,079",31
3997866,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3279738,Rahul Tiwari,364c6058-f3b4-4471-ae90-5534b884d3cc,1,4.4,356,"2,449",10
996192,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1032194,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
885892,Ehab Mesallum,ehab-mesallum,1,4.7,"6,995","52,717",21
1135320,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2518396,Lindsay Marsh,lindsay-marsh,1,4.7,"59,330","223,209",17
1159586,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
1007762,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
2970308,Yi Zhuan Foong,foong-yi-zhuan,1,4.9,23,327,1
1175200,Kirill Eremenko,kirilleremenko,1,4.6,"535,364","1,969,963",53
1175200,Ligency I Team,superdatascience-team,2,4.6,"535,364","1,969,963",53
1309766,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3970112,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3350536,Stephen Grider,sgslo,1,4.7,"336,240","935,271",30
3968660,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3977216,Mohammad Azam,mohammad-azam-2,1,4.5,"9,226","60,098",37
1908308,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,843",314
3244262,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
3340850,365 Careers,365careers,1,4.6,"488,011","1,669,703",77
1432454,Anonymized User,,1,4.3,"13,078","36,005",2
1432454,Nikki Woodford,nikki-woodford,2,4.3,"13,078","36,005",2
975060,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1567888,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1673166,Jose Portilla,joseportilla,1,4.6,"824,171","2,597,189",41
1231182,Symon He,wcieducation,1,4.5,"29,103","245,821",12
4380032,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
1111068,Siva Prasad,sivaprasad3,1,4.5,"29,296","114,741",10
1556346,Hassan Osman,hassanosman,1,4.5,"66,836","181,242",7
3666718,Jeff James,jeffjames7,1,4.4,137,"1,076",1
4182434,Bluelime Learning Solutions,javascript-academy,1,4.1,"29,027","693,808",314
